MethodName.x,MethodIndex.x,Patch,Compiled.x,AllTestsPassed.x,TotalExecutionTime(ms).x,Fitness.x,FitnessImprovement,TimeStamp.x,NTests,NPassed,NFailed,algorithm,program,strategy,run,MethodName.y,MethodIndex.y,Compiled.y,AllTestsPassed.y,TotalExecutionTime(ms).y,Fitness.y,OriginalFitnessImprovement,TimeStamp.y,TimeStamp,RS
"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,| gin.edit.statement.DeleteStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1664 |,TRUE,TRUE,80550.99,80550,247,1598519026685,10330,10330,0,gp,commons-codec,ekstazi,1,"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,TRUE,TRUE,20846.43,20846,-45,1598476526716,NA,1
"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,| gin.edit.statement.DeleteStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1856 |,TRUE,TRUE,80936.62,80936,-733,1598520251875,10330,10330,0,gp,commons-codec,ekstazi,2,"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,TRUE,TRUE,20422.537,20422,873,1598476845174,NA,1
"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,| gin.edit.statement.DeleteStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1866 |,TRUE,TRUE,79751.99,79751,1040,1598518663364,10330,10330,0,gp,commons-codec,ekstazi,3,"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,TRUE,TRUE,20781.03,20781,-97,1598476526425,NA,1
"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,| gin.edit.statement.DeleteStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1664 |,TRUE,TRUE,79465.086,79465,783,1598517610728,10330,10330,0,gp,commons-codec,ekstazi,4,"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,TRUE,TRUE,20831.504,20831,261,1598475755098,NA,1
"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,| gin.edit.statement.DeleteStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1992 | gin.edit.statement.SwapStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1992 <-> ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1664 | gin.edit.statement.DeleteStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1856 |,TRUE,TRUE,80105.23,80105,419,1598518555013,10330,10330,0,gp,commons-codec,ekstazi,5,"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,TRUE,TRUE,20332.23,20332,935,1598476363067,NA,1
"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,| gin.edit.statement.DeleteStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1905 | gin.edit.statement.DeleteStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1528 | gin.edit.statement.SwapStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1569 <-> ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1570 |,TRUE,TRUE,75214.25,75214,526,1598518886325,10330,10330,0,gp,commons-codec,ekstazi,6,"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,TRUE,TRUE,20449.209,20449,1040,1598476328880,NA,1
"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,| gin.edit.statement.DeleteStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1866 |,TRUE,TRUE,86516.664,86516,3968,1598517313473,10330,10330,0,gp,commons-codec,ekstazi,7,"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,TRUE,TRUE,20701.457,20701,496,1598476167284,NA,1
"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,| gin.edit.statement.CopyStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1705 -> ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1553:1554 |,TRUE,TRUE,86939.04,86939,845,1598517426653,10330,10330,0,gp,commons-codec,ekstazi,8,"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,TRUE,TRUE,20936.451,20936,220,1598475680995,NA,1
"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,| gin.edit.statement.CopyStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1528 -> ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1585:1616 | gin.edit.statement.DeleteStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1657 |,TRUE,TRUE,87734.6,87734,2303,1598519044747,10330,10330,0,gp,commons-codec,ekstazi,9,"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,TRUE,TRUE,24440.86,24440,1224,1598476482482,NA,1
"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,| gin.edit.statement.DeleteStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1725 |,TRUE,TRUE,87179.766,87179,4230,1598517315190,10330,10330,0,gp,commons-codec,ekstazi,10,"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,TRUE,TRUE,24324.031,24324,983,1598477347912,NA,1
