algorithm,program,strategy,median_count
gp,codec,GI,6.0
gp,codec,Ekstazi,16.0
gp,codec,STARTS,9.0
gp,compress,GI,13.5
gp,compress,Ekstazi,28.5
gp,compress,STARTS,41.5
gp,csv,GI,26.0
gp,csv,Ekstazi,48.0
gp,csv,STARTS,24.0
gp,fileupload,GI,2.0
gp,fileupload,Ekstazi,4.0
gp,fileupload,STARTS,2.0
gp,gson,GI,49.0
gp,gson,Ekstazi,40.5
gp,gson,STARTS,25.5
gp,imaging,GI,27.0
gp,imaging,Ekstazi,21.0
gp,imaging,STARTS,23.0
gp,jcodec,GI,24.0
gp,jcodec,Ekstazi,35.0
gp,jcodec,STARTS,23.5
gp,jfreechart,GI,121.5
gp,jfreechart,Ekstazi,35.5
gp,jfreechart,STARTS,73.0
gp,joda-time,GI,8.0
gp,joda-time,Ekstazi,8.0
gp,spatial4j,GI,11.0
gp,spatial4j,Ekstazi,5.0
gp,spatial4j,STARTS,18.0
gp,text,GI,12.0
gp,text,Ekstazi,19.5
gp,text,STARTS,18.5
gp,validator,GI,36.0
gp,validator,Ekstazi,44.0
gp,validator,STARTS,7.0
ls,codec,GI,27.0
ls,codec,Ekstazi,10.0
ls,codec,STARTS,12.5
ls,compress,GI,61.0
ls,compress,Ekstazi,51.5
ls,compress,STARTS,53.5
ls,csv,GI,38.0
ls,csv,Ekstazi,34.5
ls,csv,STARTS,32.0
ls,fileupload,GI,28.0
ls,fileupload,Ekstazi,6.0
ls,fileupload,STARTS,6.0
ls,gson,GI,74.5
ls,gson,Ekstazi,61.5
ls,gson,STARTS,53.0
ls,imaging,GI,16.0
ls,imaging,Ekstazi,28.5
ls,imaging,STARTS,30.5
ls,jcodec,GI,11.5
ls,jcodec,Ekstazi,38.5
ls,jcodec,STARTS,47.5
ls,jfreechart,GI,73.0
ls,jfreechart,Ekstazi,104.5
ls,jfreechart,STARTS,67.5
ls,joda-time,GI,23.0
ls,joda-time,Ekstazi,14.0
ls,spatial4j,GI,27.0
ls,spatial4j,Ekstazi,5.0
ls,spatial4j,STARTS,20.0
ls,text,GI,20.0
ls,text,Ekstazi,22.0
ls,text,STARTS,24.0
ls,validator,GI,29.5
ls,validator,Ekstazi,15.0
ls,validator,STARTS,25.0
