MethodName,MethodIndex,Patch,Compiled,AllTestsPassed,TotalExecutionTime(ms),Fitness,FitnessImprovement,TimeStamp,algorithm,program,strategy,run,RIC
"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,| gin.edit.statement.DeleteStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1664 |,TRUE,TRUE,75638.32,75638,361,1598478195801,gp,codec,Gin,1,0.2791956689868523
"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,| gin.edit.statement.DeleteStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1850 | gin.edit.statement.DeleteStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1866 | gin.edit.statement.DeleteStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1866 |,TRUE,TRUE,72515.45,72515,1705,1598478006364,gp,codec,Gin,2,1.3186388244392884
"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,| gin.edit.statement.DeleteStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1892 |,TRUE,TRUE,72808.54,72808,227,1598476526475,gp,codec,Gin,3,0.17556071152358854
"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,| gin.edit.statement.DeleteStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1992 |,TRUE,TRUE,75755.66,75755,1267,1598475888696,gp,codec,Gin,4,0.979891724671307
"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,| gin.edit.statement.DeleteStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1879 |,TRUE,TRUE,75743.336,75743,637,1598478651982,gp,codec,Gin,5,0.49265274555297756
"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,| gin.edit.statement.DeleteStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1905 | gin.edit.statement.SwapStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1759 <-> ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1771 | gin.edit.statement.ReplaceStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1632 -> ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1771 | gin.edit.statement.SwapStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1569 <-> ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1570 | gin.edit.statement.SwapStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1640 <-> ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1542 | gin.edit.statement.SwapStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1599 <-> ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1943 | gin.edit.statement.SwapStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1759 <-> ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1771 | gin.edit.statement.ReplaceStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1632 -> ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1771 | gin.edit.statement.DeleteStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1725 | gin.edit.statement.ReplaceStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:915 -> ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1640 | gin.edit.statement.ReplaceStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:2758 -> ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1725 |,TRUE,TRUE,72360.164,72360,1055,1598482791940,gp,codec,Gin,6,0.8159319412219644
"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,| gin.edit.statement.ReplaceStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1677 -> ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1677 | gin.edit.statement.DeleteStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1850 |,TRUE,TRUE,72570.08,72570,1390,1598478398244,gp,codec,Gin,7,1.0750193348801238
"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,| gin.edit.statement.DeleteStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1717 |,TRUE,TRUE,72247.31,72247,2319,1598478488645,gp,codec,Gin,8,1.7935034802784222
"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,| gin.edit.statement.CopyStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1705 -> ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1579:1580 |,TRUE,TRUE,75758.18,75758,624,1598476357418,gp,codec,Gin,9,0.48259860788863107
"org.apache.commons.codec.language.bm.Rule.List<Rule>>parseRules(Scanner,String)",-44613918,| gin.edit.statement.DeleteStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1866 | gin.edit.statement.DeleteStatement ./src/main/java/org/apache/commons/codec/language/bm/Rule.java:1725 |,TRUE,TRUE,74896.11,74896,1357,1598480097401,gp,codec,Gin,10,1.0494972931167827
