algorithm,program,strategy,avg_best
GP,codec,Gin,1.29
GP,codec,Ekstazi,4.35
GP,codec,STARTS,2.96
GP,compress,Gin,2.46
GP,compress,Ekstazi,6.23
GP,compress,STARTS,14.28
GP,csv,Gin,0.78
GP,csv,Ekstazi,2.25
GP,csv,STARTS,2.95
GP,fileupload,Gin,0.05
GP,fileupload,Ekstazi,0.13
GP,fileupload,STARTS,0.1
GP,gson,Gin,0.29
GP,gson,Ekstazi,0.2
GP,gson,STARTS,0.2
GP,imaging,Gin,11.98
GP,imaging,Ekstazi,7.63
GP,imaging,STARTS,11.42
GP,jcodec,Gin,6.77
GP,jcodec,Ekstazi,12.26
GP,jcodec,STARTS,7.95
GP,jfreechart,Gin,2.06
GP,jfreechart,Ekstazi,0.9
GP,jfreechart,STARTS,1.05
GP,joda-time,Gin,0.51
GP,joda-time,Ekstazi,3.46
GP,spatial4j,Gin,2.32
GP,spatial4j,Ekstazi,2.16
GP,spatial4j,STARTS,2.72
GP,text,Gin,1.46
GP,text,Ekstazi,3.52
GP,text,STARTS,1.4
GP,validator,Gin,0.29
GP,validator,Ekstazi,1.44
GP,validator,STARTS,0.82
LS,codec,Gin,0.34
LS,codec,Ekstazi,3.49
LS,codec,STARTS,2.45
LS,compress,Gin,19.82
LS,compress,Ekstazi,3.16
LS,compress,STARTS,2.87
LS,csv,Gin,0.75
LS,csv,Ekstazi,0.41
LS,csv,STARTS,0.44
LS,fileupload,Gin,0.4
LS,fileupload,Ekstazi,0.07
LS,fileupload,STARTS,0.08
LS,gson,Gin,0.37
LS,gson,Ekstazi,0.52
LS,gson,STARTS,0.3
LS,imaging,Gin,2.48
LS,imaging,Ekstazi,2.67
LS,imaging,STARTS,2.74
LS,jcodec,Gin,8.38
LS,jcodec,Ekstazi,7.08
LS,jcodec,STARTS,7.46
LS,jfreechart,Gin,0.79
LS,jfreechart,Ekstazi,1.45
LS,jfreechart,STARTS,1.38
LS,joda-time,Gin,0.57
LS,joda-time,Ekstazi,1.69
LS,spatial4j,Gin,2.49
LS,spatial4j,Ekstazi,2.41
LS,spatial4j,STARTS,3.12
LS,text,Gin,0.78
LS,text,Ekstazi,0.45
LS,text,STARTS,0.32
LS,validator,Gin,0.52
LS,validator,Ekstazi,0.5
LS,validator,STARTS,0.42
