profile_time,exec_time,algorithm,program,strategy,run,total_time,RC
62536,3112018,gp,codec,GI,1,3174554,0.6966581168671568
65143,4033459,gp,codec,GI,2,4098602,0.8994411029416928
64352,3749758,gp,codec,GI,3,3814110,0.8370091326605853
63597,4095628,gp,codec,GI,4,4159225,0.9127448630978715
66969,4581268,gp,codec,GI,5,4648237,1.0200588917914901
64278,12785098,gp,codec,GI,6,12849376,2.8198046362033975
64519,4610630,gp,codec,GI,7,4675149,1.025964749194177
66217,4758918,gp,codec,GI,8,4825135,1.0588792827999804
67003,3169107,gp,codec,GI,9,3236110,0.7101666245321311
66244,4792395,gp,codec,GI,10,4858639,1.0662317592573085
66254,3850443,gp,codec,GI,11,3916697,0.859521922247737
64750,3204060,gp,codec,GI,12,3268810,0.7173426626217513
63125,3393798,gp,codec,GI,13,3456923,0.7586241932992044
65613,4665934,gp,codec,GI,14,4731547,1.0383413301170639
64961,4400466,gp,codec,GI,15,4465427,0.9799411082085098
63956,4892689,gp,codec,GI,16,4956645,1.0877392451597951
65609,6192659,gp,codec,GI,17,6258268,1.3733813315917724
64486,4854428,gp,codec,GI,18,4918914,1.0794591505677629
63428,30757491,gp,codec,GI,19,30820919,6.763672437342434
63718,3429746,gp,codec,GI,20,3493464,0.7666431415509722
75751,1215624,gp,codec,GI+Ekstazi,1,1291375,0.28339315559581746
75070,2739375,gp,codec,GI+Ekstazi,2,2814445,0.6176319425425383
74448,1612734,gp,codec,GI+Ekstazi,3,1687182,0.37025328122695766
71543,1379821,gp,codec,GI+Ekstazi,4,1451364,0.318502854614785
75717,2601186,gp,codec,GI+Ekstazi,5,2676903,0.5874482535235005
71191,7322156,gp,codec,GI+Ekstazi,6,7393347,1.6224752196262666
72437,1762378,gp,codec,GI+Ekstazi,7,1834815,0.4026514473212969
70378,1661260,gp,codec,GI+Ekstazi,8,1731638,0.3800091818175434
71247,1694213,gp,codec,GI+Ekstazi,9,1765460,0.38743144359941295
72746,2239991,gp,codec,GI+Ekstazi,10,2312737,0.5075317676842157
75241,1715180,gp,codec,GI+Ekstazi,11,1790421,0.39290915267448967
74882,2639036,gp,codec,GI+Ekstazi,12,2713918,0.595571221409962
72432,1698708,gp,codec,GI+Ekstazi,13,1771140,0.388677923610087
71311,1448479,gp,codec,GI+Ekstazi,14,1519790,0.33351898863069784
